,P,1G,2G,A,SH,SH%,SOG,GB,TO,TCH,PAS,GID,TID
16,4,3,0,1,5,60%,3,0,1,22,16,1,1
sdf,,,,,,,,,,,,,1
G. Ament,,,,,,,,,,,,,1
M,,,,,,,,,,,,,1
26,4,0,1,2,2,50%,2,0,1,37,34,1,1
sdf,,,,,,,,,,,,,1
T. Schreiber,,,,,,,,,,,,,1
M,,,,,,,,,,,,,1
5,3,3,0,0,7,42.90%,3,1,3,30,20,1,1
sdf,,,,,,,,,,,,,1
C. Fields,,,,,,,,,,,,,1
A,,,,,,,,,,,,,1
7,2,2,0,0,8,25%,3,2,4,29,17,1,1
sdf,,,,,,,,,,,,,1
M. O'Keefe,,,,,,,,,,,,,1
A,,,,,,,,,,,,,1
99,1,1,0,0,1,100%,1,19,3,18,14,1,1
sdf,,,,,,,,,,,,,1
M. Sisselberger,,,,,,,,,,,,,1
FO,,,,,,,,,,,,,1
44,1,1,0,0,2,50%,2,0,1,14,11,1,1
sdf,,,,,,,,,,,,,1
T. Leclaire,,,,,,,,,,,,,1
M,,,,,,,,,,,,,1
13,1,0,0,1,2,0%,0,1,2,16,12,1,1
sdf,,,,,,,,,,,,,1
R. Ambler,,,,,,,,,,,,,1
M,,,,,,,,,,,,,1
54,0,0,0,0,2,0%,1,4,2,15,11,1,1
dsf,,,,,,,,,,,,,1
P. Bond,,,,,,,,,,,,,1
SSDM,,,,,,,,,,,,,1
42,0,0,0,0,2,0%,2,0,0,9,7,1,1
sdf,,,,,,,,,,,,,1
R. Aughavin,,,,,,,,,,,,,1
M,,,,,,,,,,,,,1
11,0,0,0,0,3,0%,2,2,2,38,33,1,1
dsf,,,,,,,,,,,,,1
M. Moore,,,,,,,,,,,,,1
A,,,,,,,,,,,,,1
31,0,0,0,0,1,0%,1,3,0,9,8,1,1
dsf,,,,,,,,,,,,,
C. Maher,,,,,,,,,,,,,
SSDM,,,,,,,,,,,,,
,,,,,,,,,,,,,
40,3,3,0,0,11,27.30%,7,0,0,28,17,1,2
dsf,,,,,,,,,,,,,2
C. Kelly,,,,,,,,,,,,,2
M,,,,,,,,,,,,,2
22,3,1,0,2,10,10%,7,1,0,49,39,1,2
dsf,,,,,,,,,,,,,2
M. Sowers,,,,,,,,,,,,,2
A,,,,,,,,,,,,,2
33,2,2,0,0,2,100%,2,1,1,10,7,1,2
Whitcher profile,,,,,,,,,,,,,2
M. Whitcher,,,,,,,,,,,,,2
SSDM,,,,,,,,,,,,,2
36,2,1,0,1,3,33.30%,2,1,1,10,6,1,2
Brandau profile,,,,,,,,,,,,,2
M. Brandau,,,,,,,,,,,,,2
A,,,,,,,,,,,,,2
