,Unnamed: 0,P,1G,2G,A,SH,SOG,GB,TCH,PAS,GID,TID,CT,OTID,SA,SV,PS%
0,A. Cohen,0.5,0.0,0.0,0.5,0.5,0.5,2.5,4.5,4.0,13.0,8.0,9.0,5.0,16.5,13.5,45.15
1,A. Nolting,3.8333333333333335,0.8333333333333334,0.0,3.0,4.166666666666667,2.5,1.6666666666666667,31.333333333333332,24.333333333333332,11.666666666666666,3.0,6.666666666666667,4.0,11.166666666666666,13.0,47.916666666666664
2,A. Poitras,2.0,1.5,0.0,0.5,4.5,3.0,1.5,18.5,11.5,16.0,7.0,5.5,2.5,14.0,12.0,46.55
3,A. Stathakis,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,2.0,16.0,2.0,8.0,5.0,6.0,12.0,44.5
4,A. Vardaro,1.0,1.0,0.0,0.0,3.5,2.25,0.25,11.25,6.75,13.5,3.0,6.0,4.75,9.75,13.5,48.275
5,B. Costabile,2.0,1.0,0.0,1.0,5.8,3.2,0.8,23.8,17.2,9.6,4.0,5.8,6.2,12.0,14.2,44.28
6,B. Dobson,0.5,0.0,0.0,0.5,0.5,0.5,1.5,14.5,14.0,12.5,1.0,6.0,6.5,14.5,14.0,44.9
7,B. Fairman,0.0,0.0,0.0,0.0,1.3333333333333333,0.6666666666666666,1.0,8.666666666666666,6.333333333333333,15.333333333333334,3.0,5.333333333333333,4.0,10.0,13.333333333333334,48.36666666666667
8,B. Makar,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.6666666666666667,11.333333333333334,10.0,12.0,4.0,8.0,6.333333333333333,10.333333333333334,12.666666666666666,49.666666666666664
9,B. Mayea,0.0,0.0,0.0,0.0,5.0,3.0,0.0,12.0,5.0,16.0,5.0,4.0,2.0,10.0,11.0,46.8
10,B. Minicus,1.5,1.0,0.0,0.5,2.5,1.75,1.25,11.25,8.0,8.5,5.0,5.5,4.25,10.25,13.5,44.95
11,B. O'Neill,3.25,2.0,0.25,0.75,6.75,3.75,1.25,26.75,19.25,10.5,6.0,7.0,4.5,14.5,10.0,47.6
12,B. Randall,0.5,0.0,0.0,0.5,0.5,0.0,1.5,13.0,12.0,14.0,2.0,9.0,6.0,10.5,14.5,42.65
13,B. Riorden,1.0,0.0,0.0,1.0,0.0,0.0,1.5,10.5,10.5,6.5,5.0,6.0,3.5,10.0,13.5,44.0
14,B. Tevlin,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,1.0,0.6666666666666666,1.6666666666666667,11.0,8.666666666666666,10.333333333333334,8.0,7.666666666666667,5.0,15.0,13.0,46.4
15,C. Aslanian,1.25,0.5,0.25,0.25,3.25,1.5,0.0,22.0,18.0,13.25,3.0,7.0,3.75,11.75,12.25,46.625
16,C. Bertrand,1.5,1.0,0.0,0.5,5.25,4.0,0.75,20.75,14.0,12.0,8.0,7.5,4.5,13.0,13.0,46.225
17,C. Comizio,0.5,0.5,0.0,0.0,1.0,0.75,1.5,10.5,9.0,6.0,4.0,6.5,5.75,13.0,12.75,47.400000000000006
18,C. Fake,0.0,0.0,0.0,0.0,1.0,0.0,2.0,12.0,11.0,5.0,8.0,5.0,5.0,12.0,12.0,48.9
